          min -3.12958e-027  max 24.103
  -- Solve :
          min -7.82235e-028  max 6.02275
  -- Solve :
          min -7.81267e-028  max 6.0153
  -- Solve :
          min -7.803e-028  max 6.00785
  -- Solve :
          min -7.79334e-028  max 6.00042
  -- Solve :
          min -7.7837e-028  max 5.99299
  -- Solve :
          min -7.77406e-028  max 5.98557
  -- Solve :
          min -7.76444e-028  max 5.97816
  -- Solve :
          min -7.75483e-028  max 5.97076
  -- Solve :
          min -7.74523e-028  max 5.96337
  -- Solve :
          min -7.73564e-028  max 5.95599
  -- Solve :
          min -7.72607e-028  max 5.94861
  -- Solve :
          min -7.7165e-028  max 5.94125
  -- Solve :
          min -7.70695e-028  max 5.93389
  -- Solve :
          min -7.69741e-028  max 5.92654
  -- Solve :
          min -7.68788e-028  max 5.9192
  -- Solve :
          min -7.67836e-028  max 5.91187
  -- Solve :
          min -7.66885e-028  max 5.90455
  -- Solve :
          min -7.65935e-028  max 5.89724
  -- Solve :
          min -7.64987e-028  max 5.88994
  -- Solve :
          min -7.6404e-028  max 5.88264
  -- Solve :
          min -7.63093e-028  max 5.87536
  -- Solve :
          min -7.62148e-028  max 5.86808
  -- Solve :
          min -7.61204e-028  max 5.86081
  -- Solve :
          min -7.60262e-028  max 5.85355
  -- Solve :
          min -7.5932e-028  max 5.8463
  -- Solve :
          min -7.5838e-028  max 5.83906
  -- Solve :
          min -7.5744e-028  max 5.83183
  -- Solve :
          min -7.56502e-028  max 5.8246
  -- Solve :
          min -7.55565e-028  max 5.81739
  -- Solve :
          min -7.54629e-028  max 5.81018
  -- Solve :
          min -7.53694e-028  max 5.80298
  -- Solve :
          min -7.5276e-028  max 5.79579
  -- Solve :
          min -7.51828e-028  max 5.78861
  -- Solve :
          min -7.50896e-028  max 5.78144
  -- Solve :
          min -7.49966e-028  max 5.77427
  -- Solve :
          min -7.49037e-028  max 5.76712
  -- Solve :
          min -7.48108e-028  max 5.75997
  -- Solve :
          min -7.47181e-028  max 5.75283
  -- Solve :
          min -7.46256e-028  max 5.7457
  -- Solve :
          min -7.45331e-028  max 5.73858
  -- Solve :
          min -7.44407e-028  max 5.73147
  -- Solve :
          min -7.43484e-028  max 5.72437
  -- Solve :
          min -7.42563e-028  max 5.71727
  -- Solve :
          min -7.41643e-028  max 5.71018
  -- Solve :
          min -7.40723e-028  max 5.7031
  -- Solve :
          min -7.39805e-028  max 5.69604
  -- Solve :
          min -7.38888e-028  max 5.68897
  -- Solve :
          min -7.37972e-028  max 5.68192
  -- Solve :
          min -7.37058e-028  max 5.67488
  -- Solve :
          min -7.36144e-028  max 5.66784
  -- Solve :
          min -7.35231e-028  max 5.66081
  -- Solve :
          min -7.3432e-028  max 5.65379
  -- Solve :
          min -7.33409e-028  max 5.64678
  -- Solve :
          min -7.325e-028  max 5.63978
  -- Solve :
          min -7.31592e-028  max 5.63279
  -- Solve :
          min -7.30685e-028  max 5.6258
  -- Solve :
          min -7.29778e-028  max 5.61883
  -- Solve :
          min -7.28873e-028  max 5.61186
  -- Solve :
          min -7.2797e-028  max 5.6049
  -- Solve :
          min -7.27067e-028  max 5.59795
  -- Solve :
          min -7.26165e-028  max 5.591
  -- Solve :
          min -7.25264e-028  max 5.58407
  -- Solve :
          min -7.24365e-028  max 5.57714
  -- Solve :
          min -7.23466e-028  max 5.57022
  -- Solve :
          min -7.22569e-028  max 5.56331
  -- Solve :
          min -7.21673e-028  max 5.55641
  -- Solve :
          min -7.20778e-028  max 5.54952
  -- Solve :
          min -7.19883e-028  max 5.54263
  -- Solve :
          min -7.1899e-028  max 5.53576
  -- Solve :
          min -7.18098e-028  max 5.52889
  -- Solve :
          min -7.17207e-028  max 5.52203
  -- Solve :
          min -7.16318e-028  max 5.51517
  -- Solve :
          min -7.15429e-028  max 5.50833
  -- Solve :
          min -7.14541e-028  max 5.50149
  -- Solve :
          min -7.13654e-028  max 5.49467
  -- Solve :
          min -7.12769e-028  max 5.48785
  -- Solve :
          min -7.11884e-028  max 5.48104
  -- Solve :
          min -7.11001e-028  max 5.47423
  -- Solve :
          min -7.10118e-028  max 5.46744
  -- Solve :
          min -7.09237e-028  max 5.46065
  -- Solve :
          min -7.08357e-028  max 5.45387
  -- Solve :
          min -7.07478e-028  max 5.4471
  -- Solve :
          min -7.06599e-028  max 5.44034
  -- Solve :
          min -7.05722e-028  max 5.43359
  -- Solve :
          min -7.04846e-028  max 5.42684
  -- Solve :
          min -7.03971e-028  max 5.4201
  -- Solve :
          min -7.03097e-028  max 5.41338
  -- Solve :
          min -7.02224e-028  max 5.40665
  -- Solve :
          min -7.01353e-028  max 5.39994
  -- Solve :
          min -7.00482e-028  max 5.39323
  -- Solve :
          min -6.99612e-028  max 5.38654
  -- Solve :
          min -6.98743e-028  max 5.37985
  -- Solve :
          min -6.97876e-028  max 5.37317
  -- Solve :
          min -6.97009e-028  max 5.36649
  -- Solve :
          min -6.96143e-028  max 5.35983
  -- Solve :
          min -6.95279e-028  max 5.35317
  -- Solve :
          min -6.94415e-028  max 5.34652
  -- Solve :
          min -6.93553e-028  max 5.33988
  -- Solve :
          min -6.92691e-028  max 5.33325
  -- Solve :
          min -6.91831e-028  max 5.32662
  -- Solve :
          min -6.90972e-028  max 5.32
  -- Solve :
          min -6.90113e-028  max 5.3134
  -- Solve :
          min -6.89256e-028  max 5.30679
  -- Solve :
          min -6.884e-028  max 5.3002
  -- Solve :
          min -6.87544e-028  max 5.29361
  -- Solve :
          min -6.8669e-028  max 5.28704
  -- Solve :
          min -6.85837e-028  max 5.28047
  -- Solve :
          min -6.84985e-028  max 5.2739
  -- Solve :
          min -6.84134e-028  max 5.26735
  -- Solve :
          min -6.83284e-028  max 5.2608
  -- Solve :
          min -6.82434e-028  max 5.25427
  -- Solve :
          min -6.81586e-028  max 5.24774
  -- Solve :
          min -6.80739e-028  max 5.24121
  -- Solve :
          min -6.79893e-028  max 5.2347
  -- Solve :
          min -6.79048e-028  max 5.22819
  -- Solve :
          min -6.78204e-028  max 5.22169
  -- Solve :
          min -6.77361e-028  max 5.2152
  -- Solve :
          min -6.76519e-028  max 5.20872
  -- Solve :
          min -6.75678e-028  max 5.20224
  -- Solve :
          min -6.74838e-028  max 5.19577
  -- Solve :
          min -6.73999e-028  max 5.18931
  -- Solve :
          min -6.73161e-028  max 5.18286
  -- Solve :
          min -6.72324e-028  max 5.17642
  -- Solve :
          min -6.71488e-028  max 5.16998
  -- Solve :
          min -6.70653e-028  max 5.16355
  -- Solve :
          min -6.69819e-028  max 5.15713
  -- Solve :
          min -6.68986e-028  max 5.15071
  -- Solve :
          min -6.68154e-028  max 5.14431
  -- Solve :
          min -6.67324e-028  max 5.13791
  -- Solve :
          min -6.66494e-028  max 5.13152
  -- Solve :
          min -6.65665e-028  max 5.12514
  -- Solve :
          min -6.64837e-028  max 5.11876
  -- Solve :
          min -6.6401e-028  max 5.11239
  -- Solve :
          min -6.63184e-028  max 5.10603
  -- Solve :
          min -6.62359e-028  max 5.09968
  -- Solve :
          min -6.61535e-028  max 5.09333
  -- Solve :
          min -6.60712e-028  max 5.087
  -- Solve :
          min -6.5989e-028  max 5.08067
  -- Solve :
          min -6.59069e-028  max 5.07434
  -- Solve :
          min -6.58249e-028  max 5.06803
  -- Solve :
          min -6.5743e-028  max 5.06172
  -- Solve :
          min -6.56611e-028  max 5.05542
  -- Solve :
          min -6.55794e-028  max 5.04913
  -- Solve :
          min -6.54978e-028  max 5.04285
  -- Solve :
          min -6.54163e-028  max 5.03657
  -- Solve :
          min -6.53349e-028  max 5.0303
  -- Solve :
          min -6.52536e-028  max 5.02404
  -- Solve :
          min -6.51724e-028  max 5.01779
  -- Solve :
          min -6.50912e-028  max 5.01154
  -- Solve :
          min -6.50102e-028  max 5.0053
  -- Solve :
          min -6.49293e-028  max 4.99907
  -- Solve :
          min -6.48484e-028  max 4.99284
  -- Solve :
          min -6.47677e-028  max 4.98663
  -- Solve :
          min -6.46871e-028  max 4.98042
  -- Solve :
          min -6.46065e-028  max 4.97421
  -- Solve :
          min -6.45261e-028  max 4.96802
  -- Solve :
          min -6.44457e-028  max 4.96183
  -- Solve :
          min -6.43655e-028  max 4.95565
  -- Solve :
          min -6.42853e-028  max 4.94948
  -- Solve :
          min -6.42053e-028  max 4.94332
  -- Solve :
          min -6.41253e-028  max 4.93716
  -- Solve :
          min -6.40454e-028  max 4.93101
  -- Solve :
          min -6.39656e-028  max 4.92487
  -- Solve :
          min -6.3886e-028  max 4.91873
  -- Solve :
          min -6.38064e-028  max 4.9126
  -- Solve :
          min -6.37269e-028  max 4.90648
  -- Solve :
          min -6.36475e-028  max 4.90037
  -- Solve :
          min -6.35682e-028  max 4.89426
  -- Solve :
          min -6.3489e-028  max 4.88816
  -- Solve :
          min -6.34099e-028  max 4.88207
  -- Solve :
          min -6.33309e-028  max 4.87599
  -- Solve :
          min -6.3252e-028  max 4.86991
  -- Solve :
          min -6.31732e-028  max 4.86384
  -- Solve :
          min -6.30944e-028  max 4.85778
  -- Solve :
          min -6.30158e-028  max 4.85172
  -- Solve :
          min -6.29373e-028  max 4.84568
  -- Solve :
          min -6.28588e-028  max 4.83964
  -- Solve :
          min -6.27805e-028  max 4.8336
  -- Solve :
          min -6.27022e-028  max 4.82758
  -- Solve :
          min -6.2624e-028  max 4.82156
  -- Solve :
          min -6.2546e-028  max 4.81555
  -- Solve :
          min -6.2468e-028  max 4.80954
  -- Solve :
          min -6.23901e-028  max 4.80355
  -- Solve :
          min -6.23123e-028  max 4.79756
  -- Solve :
          min -6.22346e-028  max 4.79157
  -- Solve :
          min -6.2157e-028  max 4.7856
  -- Solve :
          min -6.20795e-028  max 4.77963
  -- Solve :
          min -6.20021e-028  max 4.77367
  -- Solve :
          min -6.19248e-028  max 4.76771
  -- Solve :
          min -6.18475e-028  max 4.76177
  -- Solve :
          min -6.17704e-028  max 4.75583
  -- Solve :
          min -6.16933e-028  max 4.74989
  -- Solve :
          min -6.16164e-028  max 4.74397
  -- Solve :
          min -6.15395e-028  max 4.73805
  -- Solve :
          min -6.14628e-028  max 4.73214
  -- Solve :
          min -6.13861e-028  max 4.72623
  -- Solve :
          min -6.13095e-028  max 4.72033
  -- Solve :
          min -6.1233e-028  max 4.71444
  -- Solve :
          min -6.11566e-028  max 4.70856
  -- Solve :
          min -6.10803e-028  max 4.70268
  -- Solve :
          min -6.10041e-028  max 4.69682
  -- Solve :
          min -6.09279e-028  max 4.69095
  -- Solve :
          min -6.08519e-028  max 4.6851
  -- Solve :
          min -6.07759e-028  max 4.67925
  -- Solve :
          min -6.07001e-028  max 4.67341
  -- Solve :
          min -6.06243e-028  max 4.66757
  -- Solve :
          min -6.05486e-028  max 4.66175
  -- Solve :
          min -6.04731e-028  max 4.65593
  -- Solve :
          min -6.03976e-028  max 4.65011
  -- Solve :
          min -6.03222e-028  max 4.64431
  -- Solve :
          min -6.02468e-028  max 4.63851
  -- Solve :
          min -6.01716e-028  max 4.63272
  -- Solve :
          min -6.00965e-028  max 4.62693
  -- Solve :
          min -6.00214e-028  max 4.62115
  -- Solve :
          min -5.99465e-028  max 4.61538
  -- Solve :
          min -5.98716e-028  max 4.60962
  -- Solve :
          min -5.97968e-028  max 4.60386
  -- Solve :
          min -5.97222e-028  max 4.59811
  -- Solve :
          min -5.96476e-028  max 4.59236
  -- Solve :
          min -5.95731e-028  max 4.58662
  -- Solve :
          min -5.94986e-028  max 4.58089
  -- Solve :
          min -5.94243e-028  max 4.57517
  -- Solve :
          min -5.93501e-028  max 4.56945
  -- Solve :
          min -5.92759e-028  max 4.56374
  -- Solve :
          min -5.92019e-028  max 4.55804
  -- Solve :
          min -5.91279e-028  max 4.55235
  -- Solve :
          min -5.9054e-028  max 4.54666
  -- Solve :
          min -5.89802e-028  max 4.54097
  -- Solve :
          min -5.89065e-028  max 4.5353
  -- Solve :
          min -5.88329e-028  max 4.52963
  -- Solve :
          min -5.87593e-028  max 4.52397
  -- Solve :
          min -5.86859e-028  max 4.51831
  -- Solve :
          min -5.86125e-028  max 4.51266
  -- Solve :
          min -5.85393e-028  max 4.50702
  -- Solve :
          min -5.84661e-028  max 4.50138
  -- Solve :
          min -5.8393e-028  max 4.49576
  -- Solve :
          min -5.832e-028  max 4.49013
  -- Solve :
          min -5.82471e-028  max 4.48452
  -- Solve :
          min -5.81742e-028  max 4.47891
  -- Solve :
          min -5.81015e-028  max 4.47331
  -- Solve :
          min -5.80288e-028  max 4.46771
  -- Solve :
          min -5.79563e-028  max 4.46213
  -- Solve :
          min -5.78838e-028  max 4.45655
  -- Solve :
          min -5.78114e-028  max 4.45097
  -- Solve :
          min -5.77391e-028  max 4.4454
  -- Solve :
          min -5.76668e-028  max 4.43984
  -- Solve :
          min -5.75947e-028  max 4.43429
  -- Solve :
          min -5.75226e-028  max 4.42874
  -- Solve :
          min -5.74507e-028  max 4.4232
  -- Solve :
          min -5.73788e-028  max 4.41766
  -- Solve :
          min -5.7307e-028  max 4.41213
  -- Solve :
          min -5.72353e-028  max 4.40661
  -- Solve :
          min -5.71637e-028  max 4.4011
  -- Solve :
          min -5.70921e-028  max 4.39559
  -- Solve :
          min -5.70207e-028  max 4.39008
  -- Solve :
          min -5.69493e-028  max 4.38459
  -- Solve :
          min -5.6878e-028  max 4.3791
  -- Solve :
          min -5.68068e-028  max 4.37362
  -- Solve :
          min -5.67357e-028  max 4.36814
  -- Solve :
          min -5.66647e-028  max 4.36267
  -- Solve :
          min -5.65938e-028  max 4.35721
  -- Solve :
          min -5.65229e-028  max 4.35175
  -- Solve :
          min -5.64521e-028  max 4.3463
  -- Solve :
          min -5.63814e-028  max 4.34086
  -- Solve :
          min -5.63108e-028  max 4.33542
  -- Solve :
          min -5.62403e-028  max 4.32999
  -- Solve :
          min -5.61699e-028  max 4.32457
  -- Solve :
          min -5.60995e-028  max 4.31915
  -- Solve :
          min -5.60293e-028  max 4.31374
  -- Solve :
          min -5.59591e-028  max 4.30834
  -- Solve :
          min -5.5889e-028  max 4.30294
  -- Solve :
          min -5.5819e-028  max 4.29755
  -- Solve :
          min -5.5749e-028  max 4.29216
  -- Solve :
          min -5.56792e-028  max 4.28679
  -- Solve :
          min -5.56094e-028  max 4.28141
  -- Solve :
          min -5.55397e-028  max 4.27605
  -- Solve :
          min -5.54701e-028  max 4.27069
  -- Solve :
          min -5.54006e-028  max 4.26533
  -- Solve :
          min -5.53312e-028  max 4.25999
  -- Solve :
          min -5.52618e-028  max 4.25465
  -- Solve :
          min -5.51926e-028  max 4.24931
  -- Solve :
          min -5.51234e-028  max 4.24399
  -- Solve :
          min -5.50543e-028  max 4.23867
  -- Solve :
          min -5.49853e-028  max 4.23335
  -- Solve :
          min -5.49163e-028  max 4.22804
  -- Solve :
          min -5.48475e-028  max 4.22274
  -- Solve :
          min -5.47787e-028  max 4.21745
  -- Solve :
          min -5.471e-028  max 4.21216
  -- Solve :
          min -5.46414e-028  max 4.20687
  -- Solve :
          min -5.45729e-028  max 4.2016
  -- Solve :
          min -5.45044e-028  max 4.19633
  -- Solve :
          min -5.44361e-028  max 4.19106
  -- Solve :
          min -5.43678e-028  max 4.1858
  -- Solve :
          min -5.42996e-028  max 4.18055
  -- Solve :
          min -5.42315e-028  max 4.17531
  -- Solve :
          min -5.41634e-028  max 4.17007
  -- Solve :
          min -5.40955e-028  max 4.16483
  -- Solve :
          min -5.40276e-028  max 4.15961
  -- Solve :
          min -5.39598e-028  max 4.15439
  -- Solve :
          min -5.38921e-028  max 4.14917
  -- Solve :
          min -5.38244e-028  max 4.14396
  -- Solve :
          min -5.37569e-028  max 4.13876
  -- Solve :
          min -5.36894e-028  max 4.13357
  -- Solve :
          min -5.3622e-028  max 4.12838
  -- Solve :
          min -5.35547e-028  max 4.12319
  -- Solve :
          min -5.34875e-028  max 4.11802
  -- Solve :
          min -5.34203e-028  max 4.11285
  -- Solve :
          min -5.33533e-028  max 4.10768
  -- Solve :
          min -5.32863e-028  max 4.10252
  -- Solve :
          min -5.32194e-028  max 4.09737
  -- Solve :
          min -5.31525e-028  max 4.09222
  -- Solve :
          min -5.30858e-028  max 4.08708
  -- Solve :
          min -5.30191e-028  max 4.08195
  -- Solve :
          min -5.29525e-028  max 4.07682
  -- Solve :
          min -5.2886e-028  max 4.0717
  -- Solve :
          min -5.28196e-028  max 4.06658
  -- Solve :
          min -5.27532e-028  max 4.06148
  -- Solve :
          min -5.26869e-028  max 4.05637
  -- Solve :
          min -5.26207e-028  max 4.05127
  -- Solve :
          min -5.25546e-028  max 4.04618
  -- Solve :
          min -5.24886e-028  max 4.0411
  -- Solve :
          min -5.24226e-028  max 4.03602
  -- Solve :
          min -5.23567e-028  max 4.03095
  -- Solve :
          min -5.22909e-028  max 4.02588
  -- Solve :
          min -5.22252e-028  max 4.02082
  -- Solve :
          min -5.21596e-028  max 4.01576
  -- Solve :
          min -5.2094e-028  max 4.01071
  -- Solve :
          min -5.20285e-028  max 4.00567
  -- Solve :
          min -5.19631e-028  max 4.00063
  -- Solve :
          min -5.18978e-028  max 3.9956
  -- Solve :
          min -5.18325e-028  max 3.99058
  -- Solve :
          min -5.17673e-028  max 3.98556
  -- Solve :
          min -5.17022e-028  max 3.98054
  -- Solve :
          min -5.16372e-028  max 3.97554
  -- Solve :
          min -5.15722e-028  max 3.97054
  -- Solve :
          min -5.15074e-028  max 3.96554
  -- Solve :
          min -5.14426e-028  max 3.96055
  -- Solve :
          min -5.13779e-028  max 3.95557
  -- Solve :
          min -5.13132e-028  max 3.95059
  -- Solve :
          min -5.12487e-028  max 3.94562
  -- Solve :
          min -5.11842e-028  max 3.94065
  -- Solve :
          min -5.11198e-028  max 3.93569
  -- Solve :
          min -5.10554e-028  max 3.93074
  -- Solve :
          min -5.09912e-028  max 3.92579
  -- Solve :
          min -5.0927e-028  max 3.92085
  -- Solve :
          min -5.08629e-028  max 3.91591
  -- Solve :
          min -5.07989e-028  max 3.91098
  -- Solve :
          min -5.07349e-028  max 3.90606
  -- Solve :
          min -5.06711e-028  max 3.90114
  -- Solve :
          min -5.06073e-028  max 3.89623
  -- Solve :
          min -5.05435e-028  max 3.89132
  -- Solve :
          min -5.04799e-028  max 3.88642
  -- Solve :
          min -5.04163e-028  max 3.88152
  -- Solve :
          min -5.03528e-028  max 3.87664
  -- Solve :
          min -5.02894e-028  max 3.87175
  -- Solve :
          min -5.02261e-028  max 3.86687
  -- Solve :
          min -5.01628e-028  max 3.862
  -- Solve :
          min -5.00996e-028  max 3.85714
  -- Solve :
          min -5.00365e-028  max 3.85228
  -- Solve :
          min -4.99734e-028  max 3.84742
  -- Solve :
          min -4.99105e-028  max 3.84257
  -- Solve :
          min -4.98476e-028  max 3.83773
  -- Solve :
          min -4.97848e-028  max 3.83289
  -- Solve :
          min -4.9722e-028  max 3.82806
  -- Solve :
          min -4.96593e-028  max 3.82323
  -- Solve :
          min -4.95967e-028  max 3.81841
  -- Solve :
          min -4.95342e-028  max 3.8136
  -- Solve :
          min -4.94718e-028  max 3.80879
  -- Solve :
          min -4.94094e-028  max 3.80399
  -- Solve :
          min -4.93471e-028  max 3.79919
  -- Solve :
          min -4.92849e-028  max 3.7944
  -- Solve :
          min -4.92227e-028  max 3.78961
  -- Solve :
          min -4.91607e-028  max 3.78483
  -- Solve :
          min -4.90987e-028  max 3.78006
  -- Solve :
          min -4.90367e-028  max 3.77529
  -- Solve :
          min -4.89749e-028  max 3.77053
  -- Solve :
          min -4.89131e-028  max 3.76577
  -- Solve :
          min -4.88514e-028  max 3.76102
  -- Solve :
          min -4.87897e-028  max 3.75627
  -- Solve :
          min -4.87282e-028  max 3.75153
  -- Solve :
          min -4.86667e-028  max 3.7468
  -- Solve :
          min -4.86053e-028  max 3.74207
  -- Solve :
          min -4.85439e-028  max 3.73734
  -- Solve :
          min -4.84827e-028  max 3.73262
  -- Solve :
          min -4.84215e-028  max 3.72791
  -- Solve :
          min -4.83603e-028  max 3.72321
  -- Solve :
          min -4.82993e-028  max 3.7185
  -- Solve :
          min -4.82383e-028  max 3.71381
  -- Solve :
          min -4.81774e-028  max 3.70912
  -- Solve :
          min -4.81166e-028  max 3.70443
  -- Solve :
          min -4.80558e-028  max 3.69975
  -- Solve :
          min -4.79951e-028  max 3.69508
  -- Solve :
          min -4.79345e-028  max 3.69041
  -- Solve :
          min -4.78739e-028  max 3.68575
  -- Solve :
          min -4.78135e-028  max 3.68109
  -- Solve :
          min -4.77531e-028  max 3.67644
  -- Solve :
          min -4.76927e-028  max 3.6718
  -- Solve :
          min -4.76325e-028  max 3.66716
  -- Solve :
          min -4.75723e-028  max 3.66252
  -- Solve :
          min -4.75122e-028  max 3.65789
  -- Solve :
          min -4.74521e-028  max 3.65327
  -- Solve :
          min -4.73922e-028  max 3.64865
  -- Solve :
          min -4.73322e-028  max 3.64404
  -- Solve :
          min -4.72724e-028  max 3.63943
  -- Solve :
          min -4.72127e-028  max 3.63483
  -- Solve :
          min -4.7153e-028  max 3.63023
  -- Solve :
          min -4.70933e-028  max 3.62564
  -- Solve :
          min -4.70338e-028  max 3.62105
  -- Solve :
          min -4.69743e-028  max 3.61647
  -- Solve :
          min -4.69149e-028  max 3.6119
  -- Solve :
          min -4.68556e-028  max 3.60733
  -- Solve :
          min -4.67963e-028  max 3.60277
  -- Solve :
          min -4.67371e-028  max 3.59821
  -- Solve :
          min -4.6678e-028  max 3.59365
  -- Solve :
          min -4.66189e-028  max 3.58911
  -- Solve :
          min -4.65599e-028  max 3.58456
  -- Solve :
          min -4.6501e-028  max 3.58003
  -- Solve :
          min -4.64422e-028  max 3.5755
  -- Solve :
          min -4.63834e-028  max 3.57097
  -- Solve :
          min -4.63247e-028  max 3.56645
  -- Solve :
          min -4.62661e-028  max 3.56193
  -- Solve :
          min -4.62075e-028  max 3.55742
  -- Solve :
          min -4.6149e-028  max 3.55292
  -- Solve :
          min -4.60906e-028  max 3.54842
  -- Solve :
          min -4.60322e-028  max 3.54392
  -- Solve :
          min -4.59739e-028  max 3.53944
  -- Solve :
          min -4.59157e-028  max 3.53495
  -- Solve :
          min -4.58575e-028  max 3.53047
  -- Solve :
          min -4.57994e-028  max 3.526
  -- Solve :
          min -4.57414e-028  max 3.52153
  -- Solve :
          min -4.56835e-028  max 3.51707
  -- Solve :
          min -4.56256e-028  max 3.51261
  -- Solve :
          min -4.55678e-028  max 3.50816
  -- Solve :
          min -4.551e-028  max 3.50372
  -- Solve :
          min -4.54524e-028  max 3.49927
  -- Solve :
          min -4.53948e-028  max 3.49484
  -- Solve :
          min -4.53372e-028  max 3.49041
  -- Solve :
          min -4.52798e-028  max 3.48598
  -- Solve :
          min -4.52224e-028  max 3.48156
  -- Solve :
          min -4.5165e-028  max 3.47715
  -- Solve :
          min -4.51078e-028  max 3.47274
  -- Solve :
          min -4.50506e-028  max 3.46833
  -- Solve :
          min -4.49934e-028  max 3.46393
  -- Solve :
          min -4.49364e-028  max 3.45954
  -- Solve :
          min -4.48794e-028  max 3.45515
  -- Solve :
          min -4.48225e-028  max 3.45077
  -- Solve :
          min -4.47656e-028  max 3.44639
  -- Solve :
          min -4.47088e-028  max 3.44201
  -- Solve :
          min -4.46521e-028  max 3.43764
  -- Solve :
          min -4.45954e-028  max 3.43328
  -- Solve :
          min -4.45388e-028  max 3.42892
  -- Solve :
          min -4.44823e-028  max 3.42457
  -- Solve :
          min -4.44258e-028  max 3.42022
  -- Solve :
          min -4.43695e-028  max 3.41588
  -- Solve :
          min -4.43131e-028  max 3.41154
  -- Solve :
          min -4.42569e-028  max 3.40721
  -- Solve :
          min -4.42007e-028  max 3.40288
  -- Solve :
          min -4.41446e-028  max 3.39856
  -- Solve :
          min -4.40885e-028  max 3.39424
  -- Solve :
          min -4.40325e-028  max 3.38993
  -- Solve :
          min -4.39766e-028  max 3.38563
  -- Solve :
          min -4.39207e-028  max 3.38132
  -- Solve :
          min -4.38649e-028  max 3.37703
  -- Solve :
          min -4.38092e-028  max 3.37274
  -- Solve :
          min -4.37535e-028  max 3.36845
  -- Solve :
          min -4.36979e-028  max 3.36417
  -- Solve :
          min -5.32699e-027  max 41.7559
  -- Solve :
          min -5.34299e-027  max 41.7036
  -- Solve :
          min -5.33692e-027  max 41.6514
  -- Solve :
          min -5.33085e-027  max 41.5992
  -- Solve :
          min -5.32479e-027  max 41.5472
  -- Solve :
          min -5.31873e-027  max 41.4952
  -- Solve :
          min -5.31267e-027  max 41.4433
  -- Solve :
          min -5.30662e-027  max 41.3915
  -- Solve :
          min -5.30058e-027  max 41.3398
  -- Solve :
          min -5.29454e-027  max 41.2882
  -- Solve :
          min -5.2885e-027  max 41.2366
  -- Solve :
          min -5.28246e-027  max 41.1851
  -- Solve :
          min -5.27643e-027  max 41.1337
  -- Solve :
          min -5.27041e-027  max 41.0824
  -- Solve :
          min -5.26439e-027  max 41.0312
  -- Solve :
          min -5.25837e-027  max 40.9801
  -- Solve :
          min -5.25236e-027  max 40.929
  -- Solve :
          min -5.24635e-027  max 40.878
  -- Solve :
          min -5.24035e-027  max 40.8271
  -- Solve :
          min -5.23435e-027  max 40.7763
  -- Solve :
          min -5.22835e-027  max 40.7256
  -- Solve :
          min -5.22236e-027  max 40.6749
  -- Solve :
          min -5.21637e-027  max 40.6243
  -- Solve :
          min -5.21039e-027  max 40.5738
  -- Solve :
          min -5.20441e-027  max 40.5234
  -- Solve :
          min -5.19844e-027  max 40.4731
  -- Solve :
          min -5.19247e-027  max 40.4228
  -- Solve :
          min -5.18651e-027  max 40.3726
  -- Solve :
          min -5.18055e-027  max 40.3225
  -- Solve :
          min -5.17459e-027  max 40.2725
  -- Solve :
          min -5.16864e-027  max 40.2225
  -- Solve :
          min -5.1627e-027  max 40.1726
  -- Solve :
          min -5.15676e-027  max 40.1228
  -- Solve :
          min -5.15082e-027  max 40.0731
  -- Solve :
          min -5.14489e-027  max 40.0234
  -- Solve :
          min -5.13896e-027  max 39.9738
  -- Solve :
          min -5.13304e-027  max 39.9243
  -- Solve :
          min -5.12712e-027  max 39.8749
  -- Solve :
          min -5.12121e-027  max 39.8256
  -- Solve :
          min -5.1153e-027  max 39.7763
  -- Solve :
          min -5.10939e-027  max 39.7271
  -- Solve :
          min -5.10349e-027  max 39.6779
  -- Solve :
          min -5.0976e-027  max 39.6289
  -- Solve :
          min -5.09171e-027  max 39.5799
  -- Solve :
          min -5.08582e-027  max 39.5309
  -- Solve :
          min -5.07994e-027  max 39.4821
  -- Solve :
          min -5.07407e-027  max 39.4333
  -- Solve :
          min -5.0682e-027  max 39.3846
  -- Solve :
          min -5.06233e-027  max 39.336
  -- Solve :
          min -5.05647e-027  max 39.2874
  -- Solve :
          min -5.05061e-027  max 39.2389
  -- Solve :
          min -5.04476e-027  max 39.1905
  -- Solve :
          min -5.03892e-027  max 39.1422
  -- Solve :
          min -5.03307e-027  max 39.0939
  -- Solve :
          min -5.02724e-027  max 39.0457
  -- Solve :
          min -5.02141e-027  max 38.9975
  -- Solve :
          min -5.01558e-027  max 38.9495
  -- Solve :
          min -5.00976e-027  max 38.9015
  -- Solve :
          min -5.00394e-027  max 38.8535
  -- Solve :
          min -4.99813e-027  max 38.8057
  -- Solve :
          min -4.99232e-027  max 38.7579
  -- Solve :
          min -4.98652e-027  max 38.7101
  -- Solve :
          min -4.98072e-027  max 38.6625
  -- Solve :
          min -4.97493e-027  max 38.6149
  -- Solve :
          min -4.96914e-027  max 38.5674
  -- Solve :
          min -4.96336e-027  max 38.5199
  -- Solve :
          min -4.95758e-027  max 38.4725
  -- Solve :
          min -4.95181e-027  max 38.4252
  -- Solve :
          min -4.94604e-027  max 38.3779
  -- Solve :
          min -4.94028e-027  max 38.3308
  -- Solve :
          min -4.93452e-027  max 38.2836
  -- Solve :
          min -4.92877e-027  max 38.2366
  -- Solve :
